event_id,latitude,longitude,acq_date,acq_time_utc,satellite,instrument,confidence,daynight,brightness,bright_t31_k,frp_mw,scan,track,version
FIRMS_000001,20.79575,85.25475,19-08-2026,07:14,N20,VIIRS,n,D,342.63,292.68,8.12,0.39,0.44,2.0NRT
FIRMS_000002,20.79179,85.25556,19-08-2026,07:14,N20,VIIRS,n,D,332.73,292.92,4.96,0.39,0.44,2.0NRT
FIRMS_000003,22.36498,87.30222,19-08-2026,07:16,N20,VIIRS,n,D,339.31,297.24,8.62,0.44,0.38,2.0NRT
FIRMS_000004,10.95563,78.40146,19-08-2026,08:52,N20,VIIRS,n,D,332.42,292.47,4.21,0.48,0.65,2.0NRT
FIRMS_000005,8.74034,77.6055,19-08-2026,08:52,N20,VIIRS,n,D,340.56,293.6,239.09,0.4,0.6,2.0NRT
FIRMS_000006,10.74717,78.63906,19-08-2026,08:52,N20,VIIRS,n,D,334.31,290.91,5.39,0.5,0.66,2.0NRT
FIRMS_000007,10.93393,78.49468,19-08-2026,08:52,N20,VIIRS,n,D,330.44,292.35,1.95,0.49,0.65,2.0NRT
FIRMS_000008,8.64316,77.89857,19-08-2026,08:52,N20,VIIRS,n,D,330.82,293.39,3.76,0.42,0.61,2.0NRT
FIRMS_000009,9.52572,78.76215,19-08-2026,08:52,N20,VIIRS,n,D,341.98,285.98,5.93,0.49,0.65,2.0NRT
FIRMS_000010,8.63992,77.90443,19-08-2026,08:52,N20,VIIRS,n,D,337.42,293.8,6.22,0.42,0.61,2.0NRT
FIRMS_000011,8.63941,77.90063,19-08-2026,08:52,N20,VIIRS,n,D,339.32,294.71,6.62,0.42,0.61,2.0NRT
FIRMS_000012,8.64364,77.90237,19-08-2026,08:52,N20,VIIRS,n,D,344.29,293.68,4.95,0.42,0.61,2.0NRT
FIRMS_000013,21.10254,72.63605,19-08-2026,08:56,N20,VIIRS,n,D,333.38,287.38,4.28,0.54,0.51,2.0NRT
FIRMS_000014,27.31678,95.26754,19-08-2026,19:42,N20,VIIRS,n,N,311.22,289.96,2.63,0.47,0.4,2.0NRT
FIRMS_000015,23.75207,86.41506,19-08-2026,19:45,N20,VIIRS,n,N,302.77,270.27,0.91,0.5,0.41,2.0NRT
FIRMS_000016,23.73835,86.43285,19-08-2026,19:45,N20,VIIRS,n,N,309.16,269.96,1.3,0.5,0.41,2.0NRT
FIRMS_000017,23.73741,86.43033,19-08-2026,19:45,N20,VIIRS,n,N,302.84,269.96,1.1,0.5,0.41,2.0NRT
FIRMS_000018,23.73676,86.4352,19-08-2026,19:45,N20,VIIRS,n,N,303.04,271.82,1.1,0.5,0.41,2.0NRT
FIRMS_000019,23.71062,86.43102,19-08-2026,19:45,N20,VIIRS,n,N,299.96,270.53,1.47,0.5,0.41,2.0NRT
FIRMS_000020,23.6914,86.40305,19-08-2026,19:45,N20,VIIRS,n,N,301.88,270.52,0.98,0.5,0.41,2.0NRT
FIRMS_000021,23.68521,86.392,19-08-2026,19:45,N20,VIIRS,n,N,303.69,268.94,0.81,0.5,0.41,2.0NRT
FIRMS_000022,23.68456,86.39696,19-08-2026,19:45,N20,VIIRS,n,N,296.71,268.16,0.81,0.5,0.41,2.0NRT
FIRMS_000023,20.79609,85.25515,19-08-2026,19:45,N20,VIIRS,n,N,330.5,290.42,3.51,0.53,0.42,2.0NRT
FIRMS_000024,24.92421,84.15677,19-08-2026,19:45,N20,VIIRS,n,N,303.69,286.72,1.67,0.46,0.47,2.0NRT
FIRMS_000025,23.69281,87.12199,19-08-2026,19:45,N20,VIIRS,n,N,307.96,289.14,2.81,0.46,0.39,2.0NRT
FIRMS_000026,23.6892,87.12139,19-08-2026,19:45,N20,VIIRS,n,N,312.33,290.5,3.81,0.46,0.39,2.0NRT
FIRMS_000027,23.78208,86.3897,19-08-2026,19:45,N20,VIIRS,n,N,300.95,263.78,0.83,0.5,0.41,2.0NRT
FIRMS_000028,23.68438,87.12988,19-08-2026,19:45,N20,VIIRS,n,N,307.68,290.51,2.41,0.46,0.39,2.0NRT
FIRMS_000029,23.77833,86.3891,19-08-2026,19:45,N20,VIIRS,n,N,307.41,261.36,1.39,0.5,0.41,2.0NRT
FIRMS_000030,23.76894,86.40264,19-08-2026,19:45,N20,VIIRS,n,N,303.97,264.25,0.8,0.5,0.41,2.0NRT
FIRMS_000031,23.76519,86.40205,19-08-2026,19:45,N20,VIIRS,n,N,300.36,264.7,0.8,0.5,0.41,2.0NRT
FIRMS_000032,23.76455,86.40701,19-08-2026,19:45,N20,VIIRS,n,N,301,269.02,0.8,0.5,0.41,2.0NRT
FIRMS_000033,23.76145,86.40147,19-08-2026,19:45,N20,VIIRS,n,N,302.7,265.64,1.01,0.5,0.41,2.0NRT
FIRMS_000034,23.66273,87.15408,19-08-2026,19:45,N20,VIIRS,n,N,308.91,287.34,2.05,0.46,0.39,2.0NRT
