event_id,latitude,longitude,acq_date,acq_time_utc,satellite,instrument,confidence,daynight,brightness,bright_t31_k,frp_mw,scan,track,version,detection_datetime,source_id,persistence_score,persistent_flag,persistence_category,previous_frp_mw,frp_change_mw,cumulative_detections,first_detection,days_since_first_detection,previous_detection,hours_since_previous_detection
FIRMS_000001,20.79575,85.25475,2026-08-19,07:14,N20,VIIRS,n,D,342.63,292.68,8.12,0.39,0.44,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0001,0.31830694159009576,True,MEDIUM,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000002,20.79179,85.25556,2026-08-19,07:14,N20,VIIRS,n,D,332.73,292.92,4.96,0.39,0.44,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0001,0.31830694159009576,True,MEDIUM,8.12,-3.1599999999999993,2,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000023,20.79609,85.25515,2026-08-19,19:45,N20,VIIRS,n,N,330.5,290.42,3.51,0.53,0.42,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0001,0.31830694159009576,True,MEDIUM,4.96,-1.4500000000000002,3,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000069,20.79224,85.25455,2026-08-19,19:45,N20,VIIRS,n,N,310.53,290.39,3.51,0.53,0.42,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0001,0.31830694159009576,True,MEDIUM,3.51,0.0,4,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000749,20.79439,85.25645,2026-08-19,20:29,N21,VIIRS,n,N,326.47,288.69,5.71,0.58,0.52,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0001,0.31830694159009576,True,MEDIUM,3.51,2.2,5,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000750,20.79549,85.25102,2026-08-19,20:29,N21,VIIRS,n,N,317.46,288.47,5.71,0.57,0.52,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0001,0.31830694159009576,True,MEDIUM,5.71,0.0,6,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000813,20.79548,85.25578,2026-08-20,07:41,N21,VIIRS,n,D,335.11,296.34,11.08,0.43,0.38,2.0NRT,2026-08-20 00:00:00+00:00,SOURCE_0001,0.31830694159009576,True,MEDIUM,5.71,5.37,7,2026-08-19 00:00:00+00:00,1.0,2026-08-19 00:00:00+00:00,24.0
FIRMS_000003,22.36498,87.30222,2026-08-19,07:16,N20,VIIRS,n,D,339.31,297.24,8.62,0.44,0.38,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0002,0.22087291869041425,False,LOW,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000108,22.3664,87.29961,2026-08-19,19:45,N20,VIIRS,n,N,318.07,289.19,3.15,0.44,0.39,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0002,0.22087291869041425,False,LOW,8.62,-5.469999999999999,2,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000714,22.3643,87.30159,2026-08-19,20:27,N21,VIIRS,n,N,313.09,285.95,3.31,0.36,0.57,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0002,0.22087291869041425,False,LOW,3.15,0.16000000000000014,3,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000717,22.36413,87.29903,2026-08-19,20:27,N21,VIIRS,n,N,304.74,285.95,1.58,0.36,0.57,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0002,0.22087291869041425,False,LOW,3.31,-1.73,4,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000718,22.3634,87.30245,2026-08-19,20:27,N21,VIIRS,n,N,307.18,285.56,1.58,0.36,0.57,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0002,0.22087291869041425,False,LOW,1.58,0.0,5,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000004,10.95563,78.40146,2026-08-19,08:52,N20,VIIRS,n,D,332.42,292.47,4.21,0.48,0.65,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0003,0.129241536692149,False,LOW,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000005,8.74034,77.6055,2026-08-19,08:52,N20,VIIRS,n,D,340.56,293.6,239.09,0.4,0.6,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,,,1,2026-08-19 00:00:00+00:00,0.0,,
FIRMS_000118,8.74219,77.60104,2026-08-19,19:47,N20,VIIRS,n,N,353.29,291.75,11.51,0.38,0.59,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,239.09,-227.58,2,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
FIRMS_000119,8.74267,77.59756,2026-08-19,19:47,N20,VIIRS,h,N,367.0,286.78,11.51,0.38,0.59,2.0NRT,2026-08-19 00:00:00+00:00,SOURCE_0004,0.6946516669970405,True,HIGH,11.51,0.0,3,2026-08-19 00:00:00+00:00,0.0,2026-08-19 00:00:00+00:00,0.0
