source_id,first_detection,last_detection,total_detections,active_days,mean_frp,max_frp,observation_span_days,recurrence_rate,detections_per_span_day,mean_gap_hours,std_gap_hours,median_gap_hours,min_gap_hours,max_gap_hours,temporal_regularity,max_active_days_7d,max_active_days_14d,max_active_days_30d,observation_days
SOURCE_0001,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,7,2,6.0857142857142845,11.08,1.0,0.2857142857142857,7.0,4.0,8.94427190999916,0.0,0.0,24.0,0.10056040392403998,2,2,2,7
SOURCE_0002,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,5,1,3.6479999999999997,8.62,0.0,0.14285714285714285,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7
SOURCE_0003,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,4.21,4.21,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0004,2026-08-19 00:00:00+00:00,2026-08-23 00:00:00+00:00,21,5,19.433809523809526,239.09,4.0,0.7142857142857143,5.25,4.8,9.599999999999998,0.0,0.0,24.0,0.09433962264150945,5,5,5,7
SOURCE_0005,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,5.39,5.39,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0006,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,1.95,1.95,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0007,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,4,1,5.3875,6.62,0.0,0.14285714285714285,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,7
SOURCE_0008,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,5.93,5.93,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0009,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,3,2,6.276666666666666,7.3,1.0,0.2857142857142857,3.0,12.0,12.0,12.0,0.0,24.0,0.07692307692307693,2,2,2,7
SOURCE_0010,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,2,1.94,2.63,1.0,0.2857142857142857,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,7
SOURCE_0011,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,4,2,1.1475,1.64,1.0,0.2857142857142857,4.0,8.0,11.313708498984761,0.0,0.0,24.0,0.08121030314161228,2,2,2,7
SOURCE_0012,2026-08-19 00:00:00+00:00,2026-08-23 00:00:00+00:00,22,5,2.377727272727273,6.75,4.0,0.7142857142857143,5.5,4.571428571428571,9.424241429983226,0.0,0.0,24.0,0.09593024170791957,5,5,5,7
SOURCE_0013,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,1.47,1.47,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0014,2026-08-19 00:00:00+00:00,2026-08-19 00:00:00+00:00,1,1,0.98,0.98,0.0,0.14285714285714285,1.0,,,,,,0.0,1,1,1,7
SOURCE_0015,2026-08-19 00:00:00+00:00,2026-08-23 00:00:00+00:00,44,5,2.495227272727273,8.98,4.0,0.7142857142857143,11.0,2.2325581395348837,6.971160556351702,0.0,0.0,24.0,0.12545224662463544,5,5,5,7
SOURCE_0016,2026-08-19 00:00:00+00:00,2026-08-20 00:00:00+00:00,2,2,2.13,2.59,1.0,0.2857142857142857,2.0,24.0,0.0,24.0,24.0,24.0,0.0,2,2,2,7
